signal_date,ts_code,name,score,patterns,entry_close,ret_1d,ret_3d,ret_5d
20260710,002268.SZ,电科网安,67.0,趋势强势,15.34,,,
20260710,603118.SH,共进股份,66.9,趋势强势,14.2,,,
20260710,002548.SZ,金新农,66.6,趋势强势,4.19,,,
20260710,600539.SH,狮头股份,66.6,趋势强势,17.2,,,
20260710,920047.BJ,诺思兰德,66.3,趋势强势,22.38,,,
20260710,002457.SZ,青龙管业,66.2,趋势强势,15.76,,,
20260710,688505.SH,复旦张江,66.2,趋势强势,7.76,,,
20260710,300761.SZ,立华股份,66.1,趋势强势,18.57,,,
20260710,688197.SH,首药控股,66.0,趋势强势,41.09,,,
20260710,688135.SH,利扬芯片,65.9,趋势强势,42.53,,,
20260710,688176.SH,亚虹医药,65.9,趋势强势|缩量回踩,12.8,,,
20260710,301367.SZ,瑞迈特,65.8,趋势强势,44.99,,,
20260710,688382.SH,益方生物,65.7,趋势强势,22.41,,,
20260710,002137.SZ,实益达,65.6,趋势强势,12.02,,,
20260710,688050.SH,爱博医疗,65.5,趋势强势,41.56,,,
20260710,600755.SH,厦门国贸,65.4,趋势强势,5.95,,,
20260710,688211.SH,中科微至,65.4,趋势强势,35.93,,,
20260710,600285.SH,羚锐制药,65.3,趋势强势,21.72,,,
20260710,688475.SH,萤石网络,65.3,趋势强势,27.75,,,
20260710,300287.SZ,飞利信,65.1,趋势强势,3.88,,,
20260710,002414.SZ,高德红外,65.0,平台突破,14.64,,,
20260710,600267.SH,海正药业,65.0,趋势强势,10.77,,,
20260710,600992.SH,贵绳股份,65.0,平台突破,10.65,,,
20260710,603456.SH,九洲药业,65.0,趋势强势,14.77,,,
20260710,688153.SH,唯捷创芯,64.9,趋势强势,33.88,,,
20260710,600351.SH,亚宝药业,64.5,趋势强势,6.26,,,
20260710,300418.SZ,昆仑万维,64.4,趋势强势,49.42,,,
20260710,002550.SZ,千红制药,64.1,趋势强势,6.87,,,
20260710,002524.SZ,光正眼科,64.0,趋势强势,3.78,,,
20260710,300684.SZ,中石科技,64.0,趋势强势,69.61,,,
20260710,688057.SH,金达莱,63.7,趋势强势,17.98,,,
20260710,001287.SZ,中电港,63.6,趋势强势,31.03,,,
20260710,301607.SZ,富特科技,63.2,趋势强势,55.56,,,
20260710,688981.SH,中芯国际,63.2,趋势强势,163.02,,,
20260710,003004.SZ,声迅股份,63.1,趋势强势,83.01,,,
20260710,688262.SH,国芯科技,63.1,趋势强势,44.0,,,
20260710,688513.SH,苑东生物,63.1,趋势强势,55.87,,,
20260710,301008.SZ,宏昌科技,63.0,趋势强势,32.7,,,
20260710,688019.SH,安集科技,63.0,趋势强势,312.8,,,
20260710,688802.SH,沐曦股份,63.0,趋势强势,909.35,,,
20260710,300009.SZ,安科生物,62.9,趋势强势,8.23,,,
20260710,600998.SH,九州通,62.9,趋势强势|缩量回踩,5.01,,,
20260710,300768.SZ,迪普科技,62.8,趋势强势,16.11,,,
20260710,300454.SZ,深信服,62.7,平台突破,111.24,,,
20260710,300677.SZ,英科医疗,62.7,趋势强势,46.0,,,
20260710,600812.SH,华北制药,62.7,趋势强势,4.61,,,
20260710,600018.SH,上港集团,62.5,趋势强势,5.06,,,
20260710,600671.SH,天目药业,62.5,趋势强势,19.21,,,
20260710,002745.SZ,木林森,62.2,趋势强势,12.84,,,
20260710,300735.SZ,光弘科技,62.2,趋势强势,22.95,,,
20260710,600900.SH,长江电力,62.2,趋势强势,28.03,,,
20260710,688041.SH,海光信息,62.2,趋势强势,353.0,,,
20260710,688180.SH,君实生物,62.1,趋势强势,37.6,,,
20260710,300039.SZ,上海凯宝,62.0,趋势强势,4.49,,,
20260710,000066.SZ,中国长城,61.8,趋势强势,19.45,,,
20260710,600377.SH,宁沪高速,61.5,趋势强势,12.52,,,
20260710,600120.SH,浙江东方,61.4,趋势强势,4.84,,,
20260710,688795.SH,摩尔线程,61.4,趋势强势,701.01,,,
20260710,600886.SH,国投电力,60.9,趋势强势,13.73,,,
20260710,600862.SH,中航高科,60.8,趋势强势,19.63,,,
20260710,688220.SH,翱捷科技,60.7,趋势强势,118.26,,,
20260710,002567.SZ,唐人神,60.6,趋势强势,3.61,,,
20260710,300463.SZ,迈克生物,60.5,趋势强势,8.94,,,
20260710,688175.SH,高凌信息,60.2,趋势强势,28.69,,,
20260710,688522.SH,纳睿雷达,60.2,趋势强势,21.85,,,
20260710,300204.SZ,舒泰神,60.1,趋势强势,24.21,,,
20260710,301161.SZ,唯万密封,60.1,趋势强势,40.21,,,
20260710,688117.SH,圣诺生物,60.1,趋势强势,29.21,,,
20260710,920116.BJ,星图测控,60.1,趋势强势,71.58,,,
20260710,002385.SZ,大北农,60.0,趋势强势,3.0,,,
20260710,603051.SH,鹿山新材,59.9,趋势强势,22.88,,,
20260710,600332.SH,白云山,59.8,趋势强势,21.29,,,
20260710,001270.SZ,铖昌科技,59.7,趋势强势,166.3,,,
20260710,600380.SH,健康元,59.6,趋势强势,10.03,,,
20260710,300458.SZ,全志科技,59.5,趋势强势,40.03,,,
20260710,920020.BJ,泰凯英,59.0,趋势强势,16.48,,,
20260710,600685.SH,中船防务,58.9,平台突破,28.6,,,
20260710,688235.SH,百济神州,58.9,趋势强势,267.84,,,
20260710,688799.SH,华纳药厂,58.8,趋势强势,53.1,,,
20260710,001206.SZ,依依股份,58.5,趋势强势,20.07,,,
20260710,600621.SH,华鑫股份,58.1,趋势强势,13.42,,,
20260710,300562.SZ,乐心医疗,58.0,趋势强势,14.68,,,
20260710,300961.SZ,深水海纳,58.0,趋势强势,13.56,,,
20260710,603991.SH,领先股份,58.0,趋势强势,161.31,,,
20260710,002234.SZ,民和股份,57.5,趋势强势,7.19,,,
20260710,603609.SH,禾丰股份,57.4,趋势强势,6.5,,,
20260710,688139.SH,海尔生物,57.4,趋势强势,27.3,,,
20260710,603233.SH,大参林,57.3,趋势强势,17.65,,,
20260710,603387.SH,基蛋生物,57.3,趋势强势,8.28,,,
20260710,301509.SZ,金凯生科,57.2,趋势强势,30.65,,,
20260710,603367.SH,辰欣药业,57.0,趋势强势,13.68,,,
20260710,920015.BJ,锦华新材,56.9,趋势强势,56.58,,,
20260710,603903.SH,中持股份,56.8,趋势强势|缩量回踩,15.92,,,
20260710,603819.SH,神力股份,56.7,趋势强势|缩量回踩,13.58,,,
20260710,600276.SH,恒瑞医药,56.5,趋势强势,55.75,,,
